Designator,Mid X,Mid Y,Layer,Rotation
B2B-O,20.32,58.42,Top,270.0
C1,24.45,104.46,Top,0.0
C2,20.64,95.57,Top,0.0
C3,24.45,93.03,Top,0.0
C4,20.64,84.14,Top,0.0
C5,24.45,81.60,Top,0.0
C6,20.64,72.71,Top,0.0
C7,24.45,44.13,Top,0.0
C8,20.32,35.24,Top,0.0
C9,24.77,32.70,Top,0.0
C10,20.64,23.81,Top,0.0
C11,24.77,21.27,Top,0.0
C12,20.64,12.38,Top,0.0
D1,15.56,101.92,Top,0.0
D2,15.56,104.46,Top,180.0
D3, 3.18,129.54,Top,90.0
D4,15.56,79.06,Top,0.0
D5,15.56,81.60,Top,180.0
D6, 3.18,96.52,Top,90.0
D7,15.56,41.59,Top,0.0
D8,15.56,44.13,Top,180.0
D9, 2.86,63.18,Top,90.0
D10,15.56,18.73,Top,0.0
D11,15.56,21.27,Top,180.0
D12, 2.86,30.48,Top,90.0
IC1,22.54,100.01,Top,270.0
IC2,22.54,88.58,Top,270.0
IC3,22.54,77.15,Top,270.0
IC4,22.54,39.69,Top,270.0
IC5,22.54,28.26,Top,270.0
IC6,22.54,16.83,Top,270.0
LED1, 6.00,129.40,Top,90.0
LED2, 6.00,96.40,Top,90.0
LED3, 6.00,63.10,Top,90.0
LED4, 6.00,30.50,Top,90.0
PWR,20.32,119.38,Top,270.0
R1,15.56,96.84,Top,0.0
R2,15.56,99.38,Top,180.0
R3,29.53,101.92,Top,0.0
R4,29.53,96.84,Top,0.0
R5,29.53,99.38,Top,180.0
R6,15.56,91.12,Top,0.0
R7,15.56,86.04,Top,0.0
R8,15.56,88.58,Top,0.0
R9, 8.89,128.59,Top,90.0
R10,15.56,36.51,Top,0.0
R11,29.53,104.46,Top,0.0
R12,15.56,73.98,Top,0.0
R13,15.56,76.52,Top,180.0
R14,29.53,81.60,Top,0.0
R15,29.53,73.98,Top,0.0
R16,29.53,76.52,Top,180.0
R17,29.53,91.12,Top,180.0
R18,29.53,86.04,Top,0.0
R19,29.53,88.58,Top,180.0
R20,29.53,79.06,Top,0.0
R21, 9.53,95.89,Top,90.0
R22,15.56,39.05,Top,180.0
R23,29.53,41.59,Top,0.0
R24,29.53,36.51,Top,0.0
R25,29.53,39.05,Top,180.0
R26,15.56,30.80,Top,0.0
R27,15.56,25.72,Top,0.0
R28,15.56,28.26,Top,0.0
R29,29.53,44.13,Top,0.0
R30,12.38,69.22,Top,180.0
R31,15.56,13.65,Top,0.0
R32,15.56,16.19,Top,180.0
R33,29.53,18.73,Top,0.0
R34,29.53,13.65,Top,0.0
R35,29.53,16.19,Top,180.0
R36,29.53,30.80,Top,180.0
R37,29.53,25.72,Top,0.0
R38,29.53,28.26,Top,180.0
R39,29.53,21.27,Top,0.0
R40, 9.21,29.21,Top,90.0
SV1,34.29,96.52,Top,270.0
SV2,34.29,80.65,Top,270.0
SV3,34.29,36.20,Top,270.0
SV4,34.29,20.32,Top,270.0
X1,40.64,96.52,Top,270.0
X2,40.64,80.65,Top,270.0
X3,40.64,36.20,Top,270.0
X4,40.64,20.32,Top,270.0
